"streetlight_model","streetlight_type","streetlight_wattage","longitude","latitude"
"COBRA","HPS","250.0","-117.24893521","32.74311393"
"COBRA","HPS","150.0","-117.24753421","32.7461367"
"COBRA","IND","85.0","-117.24941921","32.7510572"
"COBRA","IND","85.0","-117.24779911","32.75083337"
"COBRA","IND","85.0","-117.250723","32.75187934"
"COBRA","IND","85.0","-117.25051679","32.75342104"
"COBRA","IND","85.0","-117.25047424","32.75262385"
"COBRA","IND","85.0","-117.24648167","32.75205115"
"COBRA","IND","85.0","-117.25181067","32.75331651"
"COBRA","IND","85.0","-117.25191443","32.75278745"
"COBRA","IND","85.0","-117.24892412","32.7402585"
"COBRA","IND","85.0","-117.25035999","32.7385612"
"COBRA","IND","85.0","-117.2524073","32.73590422"
"COBRA","IND","85.0","-117.25006981","32.73582231"
"COBRA","IND","85.0","-117.24941071","32.73663319"
"COBRA","IND","85.0","-117.24907441","32.74936824"
"COBRA","IND","85.0","-117.25420526","32.74353153"
"COBRA","IND","85.0","-117.25421028","32.74227872"
"COBRA","IND","85.0","-117.2482659","32.75004099"
"COBRA","IND","85.0","-117.24733999","32.75147609"
"COBRA","IND","85.0","-117.24727105","32.74829519"
"COBRA","IND","85.0","-117.24801022","32.74744033"
"COBRA","IND","85.0","-117.24947604","32.74575023"
"COBRA","IND","85.0","-117.25091471","32.74407809"
"COBRA","IND","85.0","-117.25165831","32.74320786"
"COBRA","IND","85.0","-117.25236852","32.74238768"
"COBRA","IND","85.0","-117.25309944","32.74153932"
"COBRA","IND","85.0","-117.2538311","32.74069038"
"COBRA","IND","85.0","-117.24717093","32.73918984"
"COBRA","IND","85.0","-117.2464467","32.74003289"
"COBRA","IND","85.0","-117.24789922","32.73833956"
"COBRA","IND","85.0","-117.24835295","32.73475188"
"COBRA","IND","85.0","-117.24766249","32.73565716"
"COBRA","IND","85.0","-117.24691938","32.73642021"
"COBRA","IND","85.0","-117.24963793","32.73940194"
"COBRA","IND","85.0","-117.2481846","32.7410933"
"COBRA","IND","85.0","-117.25323635","32.74447298"
"COBRA","IND","85.0","-117.25250446","32.74531261"
"COBRA","IND","85.0","-117.25468742","32.74279492"
"COBRA","IND","85.0","-117.25454","32.73987018"
"COBRA","IND","85.0","-117.2475761","32.72334354"
"COBRA","IND","85.0","-117.24804374","32.72157404"
"COBRA","IND","85.0","-117.24793263","32.72086725"
"COBRA","IND","85.0","-117.24662566","32.7336699"
"COBRA","IND","85.0","-117.2473756","32.732851"
"COBRA","IND","85.0","-117.25038099","32.72211327"
"COBRA","IND","85.0","-117.24952525","32.72179135"
"COBRA","IND","85.0","-117.248721","32.72349443"
"COBRA","IND","85.0","-117.24864565","32.72092221"
"COBRA","IND","85.0","-117.24974008","32.74856714"
"COBRA","IND","85.0","-117.24685549","32.72135875"
"COBRA","IND","85.0","-117.24856921","32.72297655"
"COBRA","IND","85.0","-117.24886031","32.72175358"
"COBRA","IND","85.0","-117.24890838","32.73377998"
"COBRA","IND","85.0","-117.25066684","32.73488451"
"COBRA","IND","85.0","-117.25108731","32.73772538"
"COBRA","IND","85.0","-117.25448808","32.74521566"
"COBRA","IND","85.0","-117.25471646","32.74132047"
"COBRA","IND","85.0","-117.25436921","32.7410725"
