station_id,avg_daily_traffic,yearly_traffic,distance lights to station in feet,lights_lat,lights_long,no. of lights
Station_id 119030,31931,11655051,25467.34694,32.76092041,-117.139376,20686
Station_id 119030,31931,11655051,25136.26278,32.75902972,-117.1438927,20686
Station_id 119030,31931,11655051,26360.03893,32.75636752,-117.1621609,20686
Station_id 119030,31931,11655051,26364.11797,32.76278744,-117.1426521,20686
Station_id 119030,31931,11655051,26310.4453,32.76240565,-117.1436998,20686
Station_id 119030,31931,11655051,26254.0727,32.76278056,-117.1411825,20686
Station_id 119030,31931,11655051,26168.16062,32.76277207,-117.1399745,20686
Station_id 119030,31931,11655051,26154.53898,32.7619547,-117.1437413,20686
Station_id 119030,31931,11655051,26246.1476,32.76189302,-117.1451123,20686
Station_id 119030,31931,11655051,26406.72508,32.76240219,-117.1448932,20686
Station_id 119030,31931,11655051,24781.60074,32.75744762,-117.1461291,20686
Station_id 119030,31931,11655051,24393.2765,32.7562694,-117.1463546,20686
Station_id 119030,31931,11655051,26217.82665,32.76087777,-117.1486738,20686
Station_id 119030,31931,11655051,26368.38632,32.76087897,-117.1501676,20686
Station_id 119030,31931,11655051,24602.34958,32.75615266,-117.1488299,20686
Station_id 119030,31931,11655051,24680.14912,32.75708904,-117.1463757,20686
Station_id 119030,31931,11655051,25861.79539,32.76190517,-117.1400193,20686
Station_id 119030,31931,11655051,26128.99991,32.76276063,-117.1394398,20686
Station_id 119030,31931,11655051,24869.04532,32.758021,-117.1448957,20686
Station_id 119030,31931,11655051,24978.25832,32.75862312,-117.1437145,20686
Station_id 119030,31931,11655051,25152.34009,32.7594159,-117.1424154,20686
Station_id 119030,31931,11655051,26199.10874,32.76117302,-117.1474075,20686
Station_id 119030,31931,11655051,25692.09572,32.76143835,-117.1399722,20686
Station_id 119030,31931,11655051,25333.92767,32.76013872,-117.1414404,20686
Station_id 119030,31931,11655051,24792.96115,32.75901997,-117.1394321,20686
Station_id 119030,31931,11655051,25438.09746,32.76071915,-117.140008,20686
Station_id 119030,31931,11655051,25572.71206,32.76122567,-117.1393204,20686
Station_id 119030,31931,11655051,25484.51123,32.76090228,-117.1397301,20686
Station_id 119030,31931,11655051,24756.54906,32.75731163,-117.146365,20686
Station_id 119030,31931,11655051,24676.44772,32.75715188,-117.146106,20686
Station_id 119030,31931,11655051,24260.41188,32.75737076,-117.1402063,20686
Station_id 119030,31931,11655051,24347.85921,32.75735621,-117.1414416,20686
Station_id 119030,31931,11655051,24447.86387,32.75737092,-117.1426351,20686
Station_id 119030,31931,11655051,24530.6202,32.75730852,-117.1438832,20686
Station_id 119030,31931,11655051,24643.76101,32.7573238,-117.1451032,20686
Station_id 119030,31931,11655051,24801.94039,32.75726629,-117.1470011,20686
Station_id 119030,31931,11655051,24885.56124,32.75732179,-117.1476559,20686
Station_id 119030,31931,11655051,25147.33829,32.75732721,-117.1501623,20686
Station_id 119030,31931,11655051,25007.54753,32.75731656,-117.1488752,20686
Station_id 119030,31931,11655051,25275.619,32.75730426,-117.1513999,20686
Station_id 119030,31931,11655051,25339.29926,32.75716971,-117.1523621,20686
Station_id 119030,31931,11655051,25181.17619,32.75710894,-117.1511505,20686
Station_id 119030,31931,11655051,25428.86567,32.7573425,-117.15263,20686
Station_id 119030,31931,11655051,25050.69451,32.75711988,-117.1499245,20686
Station_id 119030,31931,11655051,24876.90263,32.75713121,-117.148225,20686
Station_id 119030,31931,11655051,24805.50734,32.75713284,-117.1475084,20686
Station_id 119030,31931,11655051,24625.09625,32.75712877,-117.1456428,20686
Station_id 119030,31931,11655051,24720.72907,32.75714606,-117.1465927,20686
Station_id 119030,31931,11655051,24564.04914,32.75715416,-117.144877,20686
Station_id 119030,31931,11655051,24912.90812,32.75712002,-117.1486146,20686
Station_id 119030,31931,11655051,24460.52015,32.75715797,-117.1436826,20686
Station_id 119030,31931,11655051,24356.17459,32.75716082,-117.1424188,20686
Station_id 119030,31931,11655051,24259.82238,32.75716745,-117.1411657,20686
Station_id 119030,31931,11655051,24169.96635,32.75717107,-117.1399369,20686
